,Input state,Input Size,Insertion,Bubble,Selection,Heap,Merge,Shell,Shaker,Radix,Flash,Count,Binary Insertion
0,rand,1000,0.04683,0.06449,0.03403,0.00205,0.00656,0.00209,0.08582,0.42764,0.03722,0.0,0.01684
1,rand,3000,0.29443,0.68883,0.30714,0.00823,0.00901,0.00568,0.67745,1.40545,0.30663,0.0,0.19738
2,rand,10000,3.48709,8.11429,3.98622,0.06935,0.06133,0.04987,8.90013,6.48426,6.22025,0.02042,3.84554
3,rand,30000,68.97572,133.92078,63.34649,0.4568,0.4182,0.34979,137.93321,24.58045,53.55811,0.04354,32.64437
4,rand,100000,370.15649,4979.46924,583.3055,0.83741,0.66424,0.80589,4145.08198,44.10736,377.14055,0.07659,212.73451
5,min,1000,0.0,0.0361,0.02856,0.004,0.00399,0.001,0.0,0.37025,0.001,0.00095,0.00204
6,min,3000,0.00111,0.34733,0.2578,0.014,0.01396,0.00503,0.0,1.13318,0.00501,0.00195,0.00701
7,min,10000,0.001,4.37575,3.24186,0.058,0.04861,0.01501,0.001,3.76953,0.01638,0.004,0.02705
8,min,30000,0.004,41.92798,26.72001,0.18709,0.16263,0.05457,0.002,11.4593,0.04256,0.015,0.09652
9,min,100000,0.01495,480.05485,316.45594,0.72535,0.58858,0.2221,0.01,39.34832,0.18706,0.08152,0.4248
10,max,1000,0.05766,0.09196,0.02956,0.003,0.004,0.001,0.10552,0.41219,0.06909,0.001,0.037
11,max,3000,0.58827,1.00833,0.29758,0.013,0.02001,0.00752,1.12933,1.14269,0.57686,0.002,0.38425
12,max,10000,6.3429,10.81915,3.19063,0.05256,0.053,0.02368,11.4298,4.1378,6.81782,0.00601,3.73646
13,max,30000,60.58797,100.91844,28.41899,0.17819,0.1896,0.08867,105.55688,11.767,61.28742,0.01852,34.16845
14,max,100000,733.29008,1179.97676,371.18594,0.91845,0.65582,0.35514,1190.28335,39.67323,681.81584,0.06152,395.55569
